site_year,weed_trt,n,mean,median,sd,se
2024.field O2 east,"Rolled, no control",4,17.693749999999998,17.692499999999995,0.04918078893226659,0.024590394466133297
2024.field O2 east,"Rolled, mowing",4,17.880625000000002,17.8825,0.2379546087667406,0.1189773043833703
2024.field O2 east,"Rolled, high-residue cultivation",4,18.05875,18.055,0.21095516901307085,0.10547758450653542
2024.field O2 east,"Tilled, mowing",4,18.63125,18.46125,0.6110322550133231,0.30551612750666157
2024.field O2 east,"Tilled, cultivation",4,18.6625,18.95,0.6844066773490733,0.3422033386745367
2024.field O2 west,"Rolled, no control",4,18.244999999999997,18.16125,0.328829996604121,0.1644149983020605
2024.field O2 west,"Rolled, mowing",4,18.273125,18.06625,0.503381792645172,0.251690896322586
2024.field O2 west,"Rolled, high-residue cultivation",4,18.2975,18.20375,0.5258762528707045,0.26293812643535225
2024.field O2 west,"Tilled, mowing",4,18.28,18.451249999999998,0.8535977780352223,0.42679888901761115
2024.field O2 west,"Tilled, cultivation",4,19.145,19.12125,0.2320829593055033,0.11604147965275165
2023.field v,"Rolled, no control",4,16.381875,16.345,0.23081716249014048,0.11540858124507024
2023.field v,"Rolled, mowing",4,16.80375,16.74375,0.2911650448342543,0.14558252241712716
2023.field v,"Rolled, high-residue cultivation",4,17.49875,17.42125,0.4934001925415114,0.2467000962707557
2023.field v,"Tilled, mowing",4,17.205624999999998,17.089999999999996,0.45061243047656907,0.22530621523828454
2023.field v,"Tilled, cultivation",4,17.25375,17.32375,0.2514168185835356,0.1257084092917678
