site_year,weed_trt,n,mean,median,sd,se
2024.field O2 east,"Rolled, no control",4,8364.925,8072.2,741.6924536715563,370.84622683577817
2024.field O2 east,"Rolled, mowing",4,8060.975,8076.200000000001,445.907691306919,222.9538456534595
2024.field O2 east,"Rolled, high-residue cultivation",4,8444.724999999999,8613.25,939.234448456117,469.6172242280585
2024.field O2 east,"Tilled, mowing",4,9086.5,9149.95,428.96457507195953,214.48228753597976
2024.field O2 east,"Tilled, cultivation",4,8878.425,8933.25,120.1808186303738,60.0904093151869
2024.field O2 west,"Rolled, no control",4,7976.275,7981.95,755.6426508828981,377.82132544144906
2024.field O2 west,"Rolled, mowing",4,7593.6500000000005,7499.05,426.08672434924216,213.04336217462108
2024.field O2 west,"Rolled, high-residue cultivation",4,7468.85,7563.75,964.608654671244,482.304327335622
2024.field O2 west,"Tilled, mowing",4,9261.5,9263.349999999999,754.337886272899,377.1689431364495
2024.field O2 west,"Tilled, cultivation",4,9544.85,9774.1,682.0695199171419,341.03475995857093
2023.field v,"Rolled, no control",4,4731.55,4688.9,509.8904294061616,254.9452147030808
2023.field v,"Rolled, mowing",4,4552.375,4465.8499999999995,353.5808853713677,176.79044268568384
2023.field v,"Rolled, high-residue cultivation",4,5167.625,4964.25,1056.0050800856338,528.0025400428169
2023.field v,"Tilled, mowing",4,5072.625,4932.8,1072.4465996806864,536.2232998403432
2023.field v,"Tilled, cultivation",4,5637.2249999999995,5357.299999999999,882.9956374939417,441.49781874697084
