site_year,weed_trt,n,mean,median,sd,se
2024.field O2 east,"Rolled, no control",4,587270.3412073491,587270.3412073491,46243.16384922568,23121.58192461284
2024.field O2 east,"Rolled, mowing",4,597112.8608923885,600393.7007874015,94785.42729667743,47392.713648338715
2024.field O2 east,"Rolled, high-residue cultivation",4,631561.6797900263,613517.0603674541,42986.09800313551,21493.049001567753
2024.field O2 east,"Tilled, mowing",4,562664.0419947506,567585.3018372704,35284.9208331183,17642.46041655915
2024.field O2 east,"Tilled, cultivation",4,579068.2414698163,600393.7007874015,59509.04575858615,29754.522879293076
2024.field O2 west,"Rolled, no control",4,598753.280839895,593832.0209973752,28538.907153761764,14269.453576880882
2024.field O2 west,"Rolled, mowing",4,564304.4619422572,577427.8215223097,45460.65111729334,22730.32555864667
2024.field O2 west,"Rolled, high-residue cultivation",4,575787.4015748032,587270.3412073491,39868.167396234,19934.083698117
2024.field O2 west,"Tilled, mowing",4,570866.1417322835,597112.8608923885,56951.953483340054,28475.976741670027
2024.field O2 west,"Tilled, cultivation",4,606955.3805774278,633202.0997375329,69131.58630480799,34565.793152403996
2023.field v,"Rolled, no control",4,446194.2257217848,449475.0656167979,14174.848421714489,7087.424210857244
2023.field v,"Rolled, mowing",4,470800.5249343832,475721.7847769029,40226.540152558,20113.270076279
2023.field v,"Rolled, high-residue cultivation",4,460958.0052493438,475721.7847769029,77523.22221542992,38761.61110771496
2023.field v,"Tilled, mowing",4,508530.18372703413,505249.343832021,52901.953728993125,26450.976864496562
2023.field v,"Tilled, cultivation",4,524934.3832020997,531496.062992126,25129.32041355221,12564.660206776105
