site_year,weed_trt,n,mean,median,sd,se
2024.field O2 east,"Rolled, no control",4,5091.452818994777,5095.221473931117,101.0299470832751,50.51497354163755
2024.field O2 east,"Rolled, mowing",4,5001.005100522627,5004.773755458966,341.40491693336014,170.70245846668007
2024.field O2 east,"Rolled, high-residue cultivation",4,5170.594572657908,5230.893051639341,329.579593881806,164.789796940903
2024.field O2 east,"Tilled, mowing",4,4808.803698769308,4891.714107368779,606.1171994110446,303.0585997055223
2024.field O2 east,"Tilled, cultivation",4,4763.579839533233,5049.997614695042,678.8601898972828,339.4300949486414
2024.field O2 west,"Rolled, no control",4,4582.684402588933,4612.8336420796495,381.5596399069904,190.7798199534952
2024.field O2 west,"Rolled, mowing",4,4667.479138656574,4691.97539574278,218.74436801518763,109.37218400759382
2024.field O2 west,"Rolled, high-residue cultivation",4,4710.818670424479,4876.639487623421,486.8425406301662,243.4212703150831
2024.field O2 west,"Tilled, mowing",4,4718.355980297159,4733.430600042517,243.07093968933856,121.53546984466928
2024.field O2 west,"Tilled, cultivation",4,5287.422875684435,5102.758783803796,447.925949995218,223.962974997609
2023.field v,"Rolled, no control",4,3737.111294522421,3821.076926504067,546.8982587536847,273.44912937684234
2023.field v,"Rolled, mowing",4,4114.673989319603,3948.1559709574376,768.4710855069236,384.2355427534618
2023.field v,"Rolled, high-residue cultivation",4,3823.5077089380056,3691.962808385073,350.1689202580056,175.0844601290028
2023.field v,"Tilled, mowing",4,3421.222637758437,3441.0080761742197,251.70015065356986,125.85007532678493
2023.field v,"Tilled, cultivation",4,3989.9691974761254,3967.074618737862,397.435992804053,198.7179964020265
